nro,nombres,n1,n2,n3,n4,n5,n6,n7,n8,n9
1,maria,4.3,5.2,5.0,4.9,2.7,3.3,2.8,4.0,4.9
2,juana,4.0,5.1,3.4,6.0,2.3,1.6,4.1,1.1,6.7
3,fernanda,3.7,4.8,5.8,5.9,1.0,5.4,3.8,2.7,5.6
4,sandra,4.3,5.5,2.8,5.3,3.5,2.5,2.5,2.5,4.5
5,claudia,1.0,7.0,6.6,3.4,5.3,2.3,3.7,5.6,1.1
6,norma,2.4,5.8,3.8,7.0,4.1,4.5,2.4,3.2,2.4
7,yolanda,4.9,3.9,5.5,3.4,5.4,2.5,3.8,5.1,5.4
8,alejandra,6.9,5.1,1.6,2.1,5.0,5.6,6.5,2.8,1.7
9,fabiola,4.2,3.7,4.2,2.2,2.9,2.8,4.1,4.2,3.5
10,cristina,6.4,1.2,4.0,2.5,5.7,6.1,3.5,3.6,5.2
11,carmen,3.6,4.2,5.3,4.7,4.9,4.6,4.8,3.6,2.7
12,consuelo,5.2,4.2,1.6,5.9,2.0,4.3,6.3,3.5,3.3
13,romina,5.6,1.1,4.0,1.2,2.9,5.5,6.4,4.9,4.7
14,rocio,3.5,5.1,2.0,2.0,4.2,2.4,1.0,5.9,2.2
15,karla,6.8,6.5,4.5,2.4,3.5,4.2,3.2,7.0,6.4
16,valentina,3.2,3.9,6.8,2.7,5.2,4.5,4.8,5.6,1.0
